A01,D1,0.0,J09,43.6,43.6,J08,58.3,58.3,J07,75.2,75.2,Z04,96.3,96.3,J38,109.6,109.6,F34,121.1
A02,D1,0.0,J09,43.6,43.6,J08,58.3,58.3,J07,75.2,75.2,Z04,96.3,96.3,J38,109.6,109.6,F35,122.7
A03,D1,0.0,Z03,49.6,49.6,J57,79.1,79.1,J58,98.7,98.7,J59,124.0,124.0,F54,140.3
A04,D2,0.0,J32,24.9,24.9,J13,58.3,58.3,J21,85.1,85.1,F01,96.5
A05,D2,0.0,J03,28.1,28.1,J04,49.4,49.4,J50,79.5,79.5,F50,96.9
A06,D2,0.0,J32,24.9,24.9,J33,47.6,47.6,J34,77.4,77.4,J35,97.4,97.4,F28,110.0
B01,D1,0.0,J10,41.5,41.5,J45,81.1,81.1,J42,115.1,115.1,J40,153.4,153.4,F37,174.1
B02,D1,0.0,J10,41.5,41.5,J45,81.1,81.1,J42,115.1,115.1,J40,153.4,153.4,F39,175.1
B03,D1,0.0,J11,38.7,38.7,J46,75.5,75.5,J44,117.6,117.6,Z05,142.2,142.2,J41,158.5,158.5,F40,175.7
B04,D2,0.0,J32,32.0,32.0,J33,61.2,61.2,J34,99.5,99.5,F26,116.6
B05,D2,0.0,J32,32.0,32.0,J13,74.9,74.9,J21,109.4,109.4,F03,123.9
B06,D2,0.0,J32,32.0,32.0,J13,74.9,74.9,J21,109.4,109.4,F02,124.0
C01,D1,0.0,J11,45.1,45.1,J46,88.1,88.1,F43,105.2
C02,D1,0.0,Z03,74.4,74.4,J61,126.9,126.9,F58,147.0
C03,D1,0.0,Z03,74.4,74.4,J61,126.9,126.9,F57,151.6
C04,D1,0.0,J11,45.1,45.1,J46,88.1,88.1,J44,137.3,137.3,F42,155.4
C05,D1,0.0,J11,45.1,45.1,J46,88.1,88.1,J44,137.3,137.3,F41,162.6
C06,D1,0.0,J10,48.4,48.4,J45,94.6,94.6,J42,134.3,134.3,J40,179.0,179.0,F38,199.6
C07,D2,0.0,J32,37.4,37.4,F24,55.8
C08,D2,0.0,J32,37.4,37.4,J33,71.4,71.4,F25,91.8
C09,D2,0.0,J03,42.2,42.2,J48,78.9,78.9,F47,102.9
C10,D2,0.0,J03,42.2,42.2,J48,78.9,78.9,F46,107.2
C11,D2,0.0,J02,80.5,80.5,J47,99.0,99.0,F44,120.6
C12,D2,0.0,J02,80.5,80.5,J47,99.0,99.0,F45,124.0
